ID,Nama,Harga,Kategori,Deskripsi
1,Paracetamol,4000,Obat Umum,Obat pereda nyeri dan penurun demam.
2,Vitamin C 500mg,5000,Suplemen,Meningkatkan daya tahan tubuh.
3,Bodrex,6000,Obat Sakit Kepala,Obat untuk meredakan sakit kepala.
4,Antangin,7000,Herbal,Mengatasi masuk angin dan pegal.
5,Betadine,8000,Antiseptik,Pembersih luka luar.
6,Amoxicillin 500mg,9000,Antibiotik,Mengobati infeksi bakteri.
7,Neurobion,10000,Suplemen Vitamin,Vitamin untuk kesehatan saraf.
8,Panadol Extra,11000,Obat Sakit Kepala,Mengandung paracetamol dan kafein.
9,Sanmol Sirup Anak,12000,Obat Anak,Penurun demam untuk anak-anak.
10,OBH Combi,3000,Obat Batuk,Obat batuk berdahak rasa madu.
11,Promag,4000,Maag,Meredakan maag dan mual.
12,Insto,5000,Tetes Mata,Mengatasi mata merah dan kering.
13,Vicks Vaporub,6000,Oles,Menghangatkan badan dan meringankan flu.
14,Minyak Kayu Putih,7000,Minyak Oles,Menghangatkan dan meredakan perut kembung.
15,Decolgen,8000,Flu,Mengatasi gejala flu dan batuk.
16,Komix,9000,Batuk,Obat batuk cair praktis.
17,Lactacyd,10000,Perawatan Pribadi,Pembersih kewanitaan lembut.
18,Diapet,11000,Diare,Obat herbal untuk diare.
19,Minyak Telon,12000,Bayi,Menghangatkan tubuh bayi.
20,Tolak Angin,3000,Herbal,Mengatasi masuk angin.
21,Entrostop,4000,Diare,Obat untuk menghentikan diare.
22,Siladex,5000,Batuk,Obat batuk tanpa alkohol.
23,Mylanta,6000,Maag,Obat maag dan asam lambung.
24,Sakatonik Liver,7000,Suplemen,Meningkatkan nafsu makan.
25,Counterpain,8000,Otot,Gel untuk nyeri otot.
26,Salonpas,9000,Plester,Pereda nyeri pegal dan linu.
27,Lameson,10000,Anti Radang,Mengurangi peradangan.
28,Paramex,11000,Sakit Kepala,Obat sakit kepala dan flu.
29,Youvit,12000,Gummy Vitamin,Vitamin kunyah anak-anak.
30,Hemaviton,3000,Energi,Suplemen energi dan daya tahan.
31,Fitkom,4000,Suplemen Anak,Vitamin anak rasa buah.
32,Antasida Doen,5000,Maag,Obat asam lambung.
33,Degirol,6000,Sakit Tenggorokan,Tablet hisap untuk tenggorokan.
34,Caladine,7000,Kulit,Mengatasi gatal dan iritasi.
35,Inza,8000,Flu,Obat flu dengan antihistamin.
36,Ultraflu,9000,Flu,Meredakan flu dan demam.
37,Flutamol,10000,Flu,Kombinasi paracetamol dan CTM.
38,Stimuno,11000,Imun,Meningkatkan kekebalan tubuh.
39,Imboost,12000,Imun,Echinacea untuk daya tahan.
40,Enervon-C,3000,Vitamin,Multivitamin dengan vitamin C.
41,Oskadon,4000,Sakit Kepala,Obat sakit kepala ringan.
42,Mixagrip,5000,Flu,Obat flu lengkap.
43,Feminax,6000,Nyeri Haid,Pereda nyeri saat menstruasi.
44,Panadol Cold,7000,Flu,Obat flu dengan dekongestan.
45,Strepsils,8000,Tenggorokan,Pelega tenggorokan.
46,Becombion,9000,Vitamin Anak,Multivitamin untuk anak-anak.
47,Zinc Tablet,10000,Suplemen,Mendukung penyembuhan luka.
48,Tolak Angin Anak,11000,Herbal,Masuk angin pada anak-anak.
49,Vitacimin,12000,Vitamin,Tablet hisap vitamin C.
50,Hufagrip,3000,Obat Batuk,Batuk pilek untuk anak-anak.
